food,link,allergy
"Shrimp, Indian prawn",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5029,N/A
"Shrimp, Neptune rose shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5032,N/A
"Shrimp, white shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5031,N/A
Snail,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5010,N/A
"Soybean, Soya",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=50,N/A
Squid,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5009,N/A
Strawberry,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=75,N/A
Sunflower seed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=51,N/A
Tomato,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=52,N/A
Tuna,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5024,N/A
Turnip,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=69,N/A
Walnut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=53,N/A
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=9,N/A
